Ticker,Period,Date,Open,High,Low,Close,Volume
PLD,Day,"Dec 22, 2023",131.07000732421875,133.22000122070312,130.80999755859375,132.39999389648438,2360900
PLD,Day,"Dec 21, 2023",132.25,132.3699951171875,129.22000122070312,130.9600067138672,3256400
PLD,Day,"Dec 20, 2023",133.9600067138672,134.47999572753906,130.38999938964844,130.47000122070312,3448200
PLD,Day,"Dec 19, 2023",133.89999389648438,134.61000061035156,133.19000244140625,133.75,2613300
PLD,Day,"Dec 18, 2023",134.5800018310547,135.00999450683594,132.38999938964844,132.67999267578125,3805000
PLD,Day,"Dec 15, 2023",136.24000549316406,136.75999450683594,133.38999938964844,134.25999450683594,8413600
PLD,Day,"Dec 14, 2023",132.4600067138672,137.52000427246094,131.60000610351562,137.1199951171875,9543800
PLD,Day,"Dec 13, 2023",122.36000061035156,129.42999267578125,122.12999725341797,129.24000549316406,5883200
PLD,Day,"Dec 12, 2023",121.62999725341797,123.05000305175781,121.31999969482422,122.06999969482422,4197900
PLD,Day,"Dec 11, 2023",119.44000244140625,122.52999877929688,119.4000015258789,122.0,5433200
PLD,Day,"Dec 08, 2023",118.56999969482422,119.91999816894531,118.04000091552734,119.8499984741211,4257600
PLD,Day,"Dec 07, 2023",119.19000244140625,119.72000122070312,118.45999908447266,118.94999694824219,3072200
PLD,Day,"Dec 06, 2023",119.58999633789062,119.98999786376953,118.5199966430664,119.05000305175781,2989100
PLD,Day,"Dec 05, 2023",119.0,119.33000183105469,117.7300033569336,118.6500015258789,3727700
PLD,Day,"Dec 04, 2023",117.51000213623047,120.37999725341797,117.38999938964844,120.33000183105469,5388600
PLD,Day,"Dec 01, 2023",115.05000305175781,118.47000122070312,114.7699966430664,118.26000213623047,4159700
PLD,Day,"Nov 30, 2023",113.06999969482422,115.2300033569336,112.30000305175781,114.93000030517578,8202800
PLD,Day,"Nov 29, 2023",113.26000213623047,113.93000030517578,112.98999786376953,113.04000091552734,3241100
PLD,Day,"Nov 28, 2023",110.94000244140625,112.13999938964844,110.27999877929688,112.11000061035156,3226900
PLD,Day,"Nov 27, 2023",111.79000091552734,112.5,111.26000213623047,111.87000274658203,2770900
PLD,Day,"Nov 24, 2023",111.87999725341797,112.02999877929688,110.79000091552734,112.0,1284500
PLD,Day,"Nov 22, 2023",112.16999816894531,112.16999816894531,110.7699966430664,111.54000091552734,2325300
PLD,Day,"Nov 21, 2023",110.70999908447266,111.02999877929688,110.0999984741211,110.61000061035156,2717300
PLD,Day,"Nov 20, 2023",109.8499984741211,111.08000183105469,108.69000244140625,111.0,3356200
PLD,Day,"Nov 17, 2023",111.37000274658203,111.4800033569336,109.55000305175781,110.06999969482422,3125100
PLD,Day,"Nov 16, 2023",110.72000122070312,111.22000122070312,110.02999877929688,110.2699966430664,3609900
PLD,Day,"Nov 15, 2023",109.23999786376953,111.08000183105469,109.05000305175781,110.51000213623047,4620300
PLD,Day,"Nov 14, 2023",106.0,109.94999694824219,105.66000366210938,109.33000183105469,5787500
PLD,Day,"Nov 13, 2023",103.93000030517578,103.93000030517578,102.12000274658203,102.4800033569336,2473500
PLD,Day,"Nov 10, 2023",104.41000366210938,104.75,102.55999755859375,104.55000305175781,2385600
PLD,Day,"Nov 09, 2023",105.66999816894531,105.66999816894531,103.1500015258789,103.27999877929688,3350800
PLD,Day,"Nov 08, 2023",104.62000274658203,105.4800033569336,104.36000061035156,105.12999725341797,2588600
PLD,Day,"Nov 07, 2023",105.0,105.30000305175781,103.4800033569336,104.2300033569336,3092600
PLD,Day,"Nov 06, 2023",106.36000061035156,107.55999755859375,103.83999633789062,104.93000030517578,3147300
PLD,Day,"Nov 03, 2023",107.0999984741211,108.4000015258789,106.31999969482422,106.55000305175781,4562500
PLD,Day,"Nov 02, 2023",103.97000122070312,105.4800033569336,103.76000213623047,104.72000122070312,4532300
PLD,Day,"Nov 01, 2023",101.05999755859375,101.94000244140625,100.36000061035156,101.5999984741211,2585500
PLD,Day,"Oct 31, 2023",99.79000091552734,100.83999633789062,98.81999969482422,100.75,4561600
PLD,Day,"Oct 30, 2023",98.19000244140625,99.08000183105469,96.95999908447266,98.87999725341797,3588700
